Image Name,Average right eye R,Average right eye G,Average right eye B,Blood Sample ID
1709638141775.jpg,63.571908,104.7957344,118.4437304,2024030545
1709638409872.jpg,99.91548252,108.2327957,121.0498037,2024030548
1709638805843.jpg,109.240797,119.5658379,112.6532192,2024030549
1709638886747.jpg,59.68083,76.58447266,97.72468472,
1709639815290.jpg,100.107584,97.54846573,90.71798325,2024030550
1709640076577.jpg,54.44525528,77.35968113,104.5723667,2024030551
1709640196317.jpg,69.59561348,88.55069923,98.27850819,2024030552
1709640905820.jpg,91.60949135,99.04373074,119.1072617,2024030554
1709641430537.jpg,100.9448442,116.3030128,125.3405094,202403054
1709642091564.jpg,48.86211777,58.19291496,63.35439301,2024030557
1709642528827.jpg,90.44102478,103.0462265,124.9674921,2024030559
1709642795513.jpg,71.02055836,86.40242672,102.6181536,
1709642961563.jpg,55.18819714,62.77211094,97.62238216,2024030560
1709643438802.jpg,89.46407127,104.4869337,122.5501041,
1709643858123.jpg,104.1600275,126.94909,130.3946705,2024030565
1709643947587.jpg,72.0807476,95.29853821,118.0786695,2024030564
1709644093383.jpg,67.07449818,78.42240524,80.27750587,2024030566
1709644414799.jpg,81.8755188,106.8495941,111.3813496,2024030567
1709700947071.jpg,60.31745052,103.9715195,108.8808889,202403061
1709701162317.jpg,68.64368153,94.96979713,91.28118229,202403062
1709701610193.jpg,58.65133762,93.03392792,96.50736141,202403063
1709702115917.jpg,60.29438114,79.90715694,93.10908031,202403064
1709702501917.jpg,73.59168053,93.73302555,82.30376625,
1709702561106.jpg,113.6375418,116.2742119,134.7334623,202403065
1709702634691.jpg,64.04298019,91.69256115,103.8491392,202403067
1709703000819.jpg,46.89370346,76.87720585,83.15691853,202403068
1709703456324.jpg,71.3829422,83.87255669,90.05417252,2024030611
1709703615151.jpg,75.92693424,91.48938656,80.08930779,202403069
1709703830725.jpg,72.92685604,92.83234024,90.58925533,
1709703877311.jpg,58.49948788,88.00061798,85.40244389,
